                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0855,                0.66417,                 1.3437,                0.98924,                  0.989,                0.99292,                0.71741,                  1.106,                0.46382,                 1.5499,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0912,                0.66299,                 1.3511,                0.98573,                0.99135,                0.99412,                0.69573,                 1.1495,                0.48088,                 1.6071,               0.008317,               0.008317,               0.008317
                     36,                 1.0736,                0.64525,                 1.3373,                0.97042,                 0.9774,                0.99248,                0.70228,                 1.1442,                0.50769,                 1.5995,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0774,                0.65231,                 1.3425,                0.98698,                0.96289,                0.99218,                 0.7142,                 1.1469,                0.50078,                 1.5966,               0.008218,               0.008218,               0.008218
                     38,                 1.0738,                0.66081,                 1.3457,                0.98857,                0.97823,                  0.993,                0.70822,                 1.1352,                0.48693,                 1.5795,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0827,                0.63961,                 1.3436,                0.99309,                0.99216,                0.99416,                0.71861,                 1.0788,                0.44445,                 1.5208,               0.008119,               0.008119,               0.008119
                     40,                 1.0576,                0.62462,                 1.3296,                0.98943,                0.99502,                0.99476,                0.72027,                 1.1045,                0.44258,                 1.5504,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0589,                0.62937,                 1.3297,                0.99284,                0.99081,                0.99418,                0.73026,                 1.0759,                0.44632,                  1.537,                0.00802,                0.00802,                0.00802
                     42,                 1.0652,                0.62908,                 1.3343,                0.98788,                0.98709,                0.99312,                0.72914,                 1.0841,                0.45908,                 1.5361,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0582,                0.63254,                  1.336,                0.99344,                0.99354,                0.99375,                0.73153,                 1.0621,                0.43457,                 1.5258,               0.007921,               0.007921,               0.007921
                     44,                 1.0565,                0.62988,                  1.323,                0.98832,                0.98927,                0.99441,                0.72735,                 1.1072,                0.44666,                 1.5546,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0433,                 0.6097,                 1.3202,                0.99223,                0.99051,                 0.9945,                0.73283,                 1.0841,                0.44611,                  1.532,               0.007822,               0.007822,               0.007822
                     46,                  1.044,                0.61706,                 1.3218,                0.99406,                0.99708,                0.99486,                0.74035,                  1.036,                0.41777,                   1.49,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0382,                0.60158,                 1.3095,                0.95838,                0.97468,                0.99324,                 0.7278,                 1.0471,                0.49889,                 1.5042,               0.007723,               0.007723,               0.007723
                     48,                 1.0309,                0.59994,                 1.3045,                0.99148,                0.99463,                0.99471,                0.73898,                 1.0372,                0.41968,                  1.491,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0273,                 0.5998,                 1.3149,                0.99168,                0.99504,                0.99463,                0.73142,                 1.0626,                0.43322,                 1.5289,               0.007624,               0.007624,               0.007624
                     50,                 1.0225,                0.59731,                 1.3088,                0.99427,                0.99594,                0.99448,                0.74533,                 1.0319,                0.41473,                 1.4936,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0242,                0.59365,                 1.3043,                0.99557,                0.99474,                0.99427,                0.74098,                 1.0573,                 0.4149,                 1.5069,               0.007525,               0.007525,               0.007525
                     52,                 1.0237,                0.59186,                 1.3005,                0.98883,                0.99483,                0.99443,                0.74633,                 1.0321,                0.41728,                 1.4912,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0153,                0.57788,                 1.2918,                0.98988,                 0.9919,                0.99462,                0.74526,                 1.0275,                0.41446,                 1.4904,               0.007426,               0.007426,               0.007426
                     54,                 1.0102,                0.57173,                 1.2954,                0.99267,                0.99075,                0.99457,                 0.7513,                 1.0132,                0.41041,                 1.4706,              0.0073765,              0.0073765,              0.0073765
                     55,                0.99318,                0.56945,                 1.2887,                0.99731,                0.99032,                0.99438,                0.75782,                 1.0158,                0.40969,                 1.4842,               0.007327,               0.007327,               0.007327
                     56,                 1.0068,                0.57473,                 1.2951,                0.99602,                0.99685,                0.99459,                0.74823,                 1.0291,                 0.4005,                 1.4936,              0.0072775,              0.0072775,              0.0072775
                     57,                0.99912,                0.56159,                 1.2874,                0.99532,                0.99809,                0.99449,                0.74704,                  1.039,                0.41121,                 1.4951,               0.007228,               0.007228,               0.007228
                     58,                0.99661,                0.56557,                 1.2894,                0.99085,                0.99568,                0.99481,                0.73597,                 1.0545,                0.41603,                 1.5104,              0.0071785,              0.0071785,              0.0071785
                     59,                0.98803,                0.56281,                 1.2876,                0.99496,                0.99597,                0.99431,                0.75147,                 1.0139,                0.39565,                 1.4689,               0.007129,               0.007129,               0.007129
                     60,                 0.9839,                0.55156,                 1.2781,                0.99364,                0.99686,                0.99437,                0.75121,                 1.0162,                0.39814,                 1.4688,              0.0070795,              0.0070795,              0.0070795
                     61,                0.99237,                0.55887,                 1.2839,                0.99317,                0.99334,                0.99425,                0.73907,                  1.052,                0.40754,                 1.5152,                0.00703,                0.00703,                0.00703
                     62,                0.99165,                0.56374,                 1.2789,                0.97325,                0.99331,                0.99232,                0.74739,                 1.0103,                0.42339,                 1.4669,              0.0069805,              0.0069805,              0.0069805
                     63,                0.98325,                0.56549,                 1.2792,                0.99521,                0.99707,                0.99461,                 0.7498,                 1.0258,                0.39611,                 1.4821,               0.006931,               0.006931,               0.006931
                     64,                0.97994,                0.56127,                 1.2828,                0.99622,                0.99859,                0.99477,                  0.759,                0.99932,                0.39026,                 1.4547,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.9709,                0.54114,                  1.269,                0.99709,                0.99822,                0.99476,                0.75839,                 1.0015,                0.38179,                  1.461,               0.006832,               0.006832,               0.006832
                     66,                0.97846,                 0.5436,                 1.2744,                0.99413,                0.99752,                0.99463,                0.76178,                0.98975,                0.38889,                 1.4499,              0.0067825,              0.0067825,              0.0067825
                     67,                0.97725,                0.55599,                 1.2692,                0.99082,                0.99477,                0.99447,                0.74336,                 1.0366,                0.40207,                 1.4877,               0.006733,               0.006733,               0.006733
                     68,                0.96495,                0.54948,                 1.2723,                0.99375,                0.99728,                 0.9944,                 0.7557,                 0.9944,                0.38452,                 1.4579,              0.0066835,              0.0066835,              0.0066835
                     69,                0.96687,                0.53461,                 1.2641,                0.99422,                0.99599,                0.99448,                0.75904,                0.98409,                0.38261,                 1.4486,               0.006634,               0.006634,               0.006634
                     70,                0.95951,                0.53029,                 1.2638,                0.99501,                0.99659,                0.99452,                 0.7615,                 1.0077,                0.39626,                 1.4666,              0.0065845,              0.0065845,              0.0065845
                     71,                0.96554,                0.52766,                 1.2646,                0.99537,                  0.998,                0.99461,                0.76318,                0.97769,                0.37444,                 1.4406,               0.006535,               0.006535,               0.006535
                     72,                0.97332,                0.53997,                 1.2762,                0.99696,                0.99758,                0.99445,                0.75956,                 1.0008,                0.37949,                 1.4595,              0.0064855,              0.0064855,              0.0064855
                     73,                0.94879,                 0.5301,                  1.263,                0.99568,                0.99444,                0.99456,                0.75518,                0.99741,                0.39129,                 1.4631,               0.006436,               0.006436,               0.006436
