                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0282,                0.58201,                 1.3247,                0.98965,                0.99712,                0.99429,                0.74636,                 1.0438,                0.37181,                  1.512,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0167,                0.58755,                 1.3247,                0.96981,                0.99374,                0.99381,                0.74544,                 1.0483,                0.41541,                 1.5237,               0.008317,               0.008317,               0.008317
                     36,                 1.0178,                0.57297,                 1.3094,                0.99325,                0.99776,                0.99464,                0.74784,                  1.027,                0.38224,                 1.4911,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0064,                0.57183,                 1.3065,                0.99277,                0.99603,                0.99301,                0.75347,                 1.0308,                0.38412,                  1.509,               0.008218,               0.008218,               0.008218
                     38,                   1.01,                 0.5706,                 1.3251,                0.99609,                0.99776,                0.99433,                0.75384,                 1.0236,                0.36859,                 1.4961,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0175,                0.57552,                 1.3183,                0.99484,                0.99179,                0.99428,                0.74107,                 1.0281,                0.37654,                  1.489,               0.008119,               0.008119,               0.008119
                     40,                0.99145,                0.56998,                 1.2993,                 0.9947,                0.99663,                0.99435,                0.76102,                 1.0077,                0.36601,                 1.4743,              0.0080695,              0.0080695,              0.0080695
                     41,                0.99132,                0.55824,                 1.2993,                0.98923,                0.99397,                0.99329,                0.76045,                 1.0025,                0.37599,                 1.4819,                0.00802,                0.00802,                0.00802
                     42,                0.99684,                0.55613,                 1.2969,                0.98578,                0.99548,                0.99441,                0.74909,                  1.019,                0.37663,                 1.4884,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97798,                0.53899,                 1.3016,                 0.9971,                0.99241,                0.99474,                0.74552,                 1.0291,                 0.3681,                 1.5019,               0.007921,               0.007921,               0.007921
                     44,                0.98578,                0.54996,                   1.29,                0.98943,                0.99557,                0.99431,                 0.7422,                 1.0418,                0.36988,                 1.5052,              0.0078715,              0.0078715,              0.0078715
                     45,                0.97042,                 0.5309,                 1.2839,                0.99399,                0.99718,                0.99416,                0.75486,                  1.019,                0.37169,                 1.5063,               0.007822,               0.007822,               0.007822
                     46,                0.97544,                0.52354,                 1.2834,                0.99361,                0.99744,                0.99432,                0.75887,                 0.9946,                0.35978,                 1.4662,              0.0077725,              0.0077725,              0.0077725
                     47,                0.95517,                0.50979,                 1.2802,                0.99631,                 0.9968,                0.99462,                0.75778,                 1.0014,                0.36105,                  1.469,               0.007723,               0.007723,               0.007723
                     48,                0.97523,                0.53162,                 1.2867,                  0.996,                 0.9879,                0.99435,                0.75902,                0.99775,                0.36786,                 1.4592,              0.0076735,              0.0076735,              0.0076735
                     49,                0.96277,                0.53478,                 1.2834,                0.99395,                0.99868,                0.99408,                0.75201,                 1.0101,                0.37689,                 1.4789,               0.007624,               0.007624,               0.007624
                     50,                0.95658,                0.51845,                 1.2797,                0.99596,                0.99811,                0.99425,                0.74885,                0.99924,                0.36787,                 1.4728,              0.0075745,              0.0075745,              0.0075745
                     51,                0.95663,                0.51782,                  1.275,                0.99244,                0.99802,                0.99428,                0.76068,                0.99497,                0.36075,                 1.4749,               0.007525,               0.007525,               0.007525
                     52,                0.96025,                 0.5122,                 1.2667,                0.99297,                0.99842,                0.99473,                0.76659,                 0.9644,                0.35126,                 1.4412,              0.0074755,              0.0074755,              0.0074755
                     53,                0.93506,                0.50878,                 1.2541,                0.99522,                0.99482,                0.99422,                0.76098,                0.99844,                0.35723,                 1.4772,               0.007426,               0.007426,               0.007426
                     54,                0.93377,                0.50962,                 1.2646,                0.99345,                0.99733,                 0.9945,                0.76284,                0.99348,                0.35126,                 1.4685,              0.0073765,              0.0073765,              0.0073765
                     55,                0.93527,                 0.4976,                 1.2624,                0.99641,                0.99798,                0.99458,                0.76272,                0.99198,                0.34531,                 1.4646,               0.007327,               0.007327,               0.007327
                     56,                0.94146,                0.51502,                 1.2731,                0.99686,                0.99834,                0.99465,                0.76716,                 0.9793,                0.34856,                 1.4478,              0.0072775,              0.0072775,              0.0072775
                     57,                0.92945,                0.49398,                 1.2526,                0.99277,                0.99607,                0.99418,                0.76478,                0.97518,                0.35161,                 1.4488,               0.007228,               0.007228,               0.007228
                     58,                0.93053,                0.48739,                  1.263,                0.99409,                 0.9948,                0.99443,                0.75889,                0.98813,                0.34928,                 1.4619,              0.0071785,              0.0071785,              0.0071785
                     59,                0.90062,                0.47988,                 1.2348,                0.99632,                 0.9982,                0.99456,                0.76182,                0.98419,                0.34109,                 1.4544,               0.007129,               0.007129,               0.007129
                     60,                0.91598,                0.48719,                 1.2506,                0.99662,                0.99794,                0.99414,                0.77201,                0.98094,                0.33872,                 1.4497,              0.0070795,              0.0070795,              0.0070795
                     61,                0.90861,                0.48236,                 1.2429,                0.99671,                0.99868,                0.99449,                0.76085,                0.98323,                0.33923,                  1.467,                0.00703,                0.00703,                0.00703
                     62,                0.90388,                0.48887,                 1.2418,                 0.9958,                0.99776,                0.99428,                0.76722,                0.98897,                0.34669,                  1.476,              0.0069805,              0.0069805,              0.0069805
                     63,                0.90879,                0.49263,                 1.2467,                  0.997,                0.99842,                0.99459,                0.75864,                0.97177,                0.34446,                 1.4475,               0.006931,               0.006931,               0.006931
                     64,                0.89829,                0.48166,                  1.239,                0.99347,                0.99565,                0.99293,                0.77498,                0.96673,                0.34239,                 1.4528,              0.0068815,              0.0068815,              0.0068815
                     65,                0.89055,                0.46814,                 1.2251,                0.99299,                0.99817,                0.99434,                0.77613,                 0.9743,                0.33516,                 1.4541,               0.006832,               0.006832,               0.006832
                     66,                0.90124,                 0.4813,                 1.2345,                0.99437,                0.99814,                0.99434,                 0.7727,                0.96358,                0.33338,                 1.4473,              0.0067825,              0.0067825,              0.0067825
                     67,                0.89156,                0.47563,                 1.2277,                0.99438,                0.99734,                0.99438,                 0.7708,                0.96725,                0.33001,                 1.4516,               0.006733,               0.006733,               0.006733
                     68,                0.87121,                0.47513,                 1.2286,                0.99726,                0.99792,                0.99473,                0.76373,                0.97355,                0.33959,                 1.4559,              0.0066835,              0.0066835,              0.0066835
                     69,                0.89733,                0.46883,                 1.2342,                0.99407,                0.99628,                0.99351,                0.76326,                0.99056,                0.34936,                 1.4711,               0.006634,               0.006634,               0.006634
                     70,                0.87877,                0.45851,                 1.2254,                0.99554,                0.99685,                0.99411,                0.77745,                0.97135,                0.33719,                 1.4541,              0.0065845,              0.0065845,              0.0065845
                     71,                0.88742,                0.46092,                 1.2307,                 0.9974,                0.99841,                0.99462,                 0.7777,                0.97376,                0.33228,                 1.4524,               0.006535,               0.006535,               0.006535
                     72,                0.86865,                0.45254,                 1.2196,                0.99683,                0.99868,                0.99435,                0.77714,                0.97219,                0.32668,                 1.4553,              0.0064855,              0.0064855,              0.0064855
                     73,                0.86579,                0.45427,                 1.2149,                0.99753,                0.99868,                0.99439,                0.77391,                0.98257,                0.33396,                 1.4668,               0.006436,               0.006436,               0.006436
                     74,                0.86408,                0.44981,                 1.2145,                0.99741,                0.99835,                0.99435,                0.77236,                0.98104,                0.34115,                 1.4939,              0.0063865,              0.0063865,              0.0063865
                     75,                0.86367,                0.44859,                 1.2145,                0.99746,                0.99868,                0.99434,                0.77735,                0.97107,                0.33348,                 1.4709,               0.006337,               0.006337,               0.006337
                     76,                0.86973,                0.45294,                 1.2171,                0.99598,                0.99674,                0.99347,                0.76965,                0.97148,                 0.3322,                 1.4665,              0.0062875,              0.0062875,              0.0062875
                     77,                 0.8597,                0.45222,                 1.2126,                0.99163,                0.99541,                0.99466,                0.77511,                0.96945,                 0.3269,                 1.4594,               0.006238,               0.006238,               0.006238
                     78,                0.86306,                0.44283,                 1.1996,                0.99637,                0.99762,                0.99488,                0.78007,                0.97108,                0.32346,                 1.4615,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.8466,                0.42987,                 1.2007,                0.99749,                0.99814,                0.99442,                0.77479,                0.96615,                0.31995,                  1.454,               0.006139,               0.006139,               0.006139
                     80,                0.85058,                0.43707,                 1.2054,                0.99522,                0.99868,                0.99434,                0.77394,                0.96845,                0.32522,                 1.4634,              0.0060895,              0.0060895,              0.0060895
                     81,                0.84526,                0.44187,                  1.195,                0.99781,                 0.9985,                0.99428,                0.77442,                0.96495,                0.31955,                 1.4695,                0.00604,                0.00604,                0.00604
                     82,                0.83376,                 0.4359,                  1.191,                0.99739,                0.99754,                0.99431,                0.77266,                0.97717,                0.32248,                 1.4649,              0.0059905,              0.0059905,              0.0059905
                     83,                0.83843,                0.42571,                 1.2077,                0.99758,                0.99868,                0.99458,                 0.7799,                0.95936,                0.31512,                 1.4516,               0.005941,               0.005941,               0.005941
                     84,                0.83722,                0.42789,                  1.201,                0.99791,                0.99868,                0.99452,                0.77699,                0.96793,                0.31934,                 1.4605,              0.0058915,              0.0058915,              0.0058915
                     85,                0.83451,                0.43387,                 1.1868,                0.99741,                0.99841,                0.99432,                 0.7723,                0.96859,                0.32155,                 1.4639,               0.005842,               0.005842,               0.005842
                     86,                0.84201,                0.43541,                 1.2007,                0.99651,                0.99868,                0.99481,                0.77882,                0.96147,                 0.3198,                 1.4546,              0.0057925,              0.0057925,              0.0057925
                     87,                 0.8351,                0.43108,                 1.1944,                 0.9973,                0.99789,                0.99438,                0.78577,                0.95944,                0.32292,                 1.4589,               0.005743,               0.005743,               0.005743
                     88,                0.83198,                0.43298,                 1.1966,                0.99696,                 0.9983,                0.99455,                0.77974,                0.96305,                0.31748,                 1.4692,              0.0056935,              0.0056935,              0.0056935
                     89,                0.83573,                 0.4227,                 1.1946,                0.99618,                0.99685,                0.99449,                0.77759,                0.96537,                0.32203,                 1.4587,               0.005644,               0.005644,               0.005644
                     90,                0.83451,                0.42749,                 1.2025,                0.99795,                0.99868,                0.99449,                0.77602,                 0.9733,                0.32381,                 1.4731,              0.0055945,              0.0055945,              0.0055945
                     91,                0.83224,                0.43106,                 1.1998,                0.99668,                0.99776,                0.99457,                0.77175,                0.98115,                0.32057,                 1.4684,               0.005545,               0.005545,               0.005545
                     92,                0.81078,                0.41641,                 1.1743,                 0.9969,                0.99868,                 0.9944,                0.77031,                0.97836,                0.32168,                  1.481,              0.0054955,              0.0054955,              0.0054955
                     93,                0.81002,                0.41532,                 1.1786,                0.99691,                0.99731,                0.99401,                 0.7696,                0.98923,                0.33119,                 1.4812,               0.005446,               0.005446,               0.005446
                     94,                0.82167,                0.42153,                 1.1825,                0.99763,                0.99868,                0.99445,                0.77716,                0.96559,                 0.3161,                 1.4577,              0.0053965,              0.0053965,              0.0053965
                     95,                0.80798,                0.40824,                 1.1873,                0.99776,                0.99856,                0.99455,                0.77952,                0.97073,                0.31663,                 1.4628,               0.005347,               0.005347,               0.005347
                     96,                0.80281,                0.41079,                 1.1833,                0.99756,                0.99868,                0.99459,                0.78223,                 0.9599,                0.31615,                 1.4531,              0.0052975,              0.0052975,              0.0052975
                     97,                0.80983,                0.41295,                 1.1795,                0.99639,                0.99868,                0.99458,                0.77958,                0.96955,                0.32411,                 1.4713,               0.005248,               0.005248,               0.005248
                     98,                0.80976,                 0.4088,                 1.1756,                0.99673,                0.99839,                0.99443,                0.77792,                0.95695,                0.31591,                 1.4541,              0.0051985,              0.0051985,              0.0051985
                     99,                0.79651,                0.40486,                  1.178,                0.99609,                0.99769,                0.99448,                0.77729,                0.96452,                0.32052,                 1.4593,               0.005149,               0.005149,               0.005149
                    100,                 0.7926,                  0.403,                 1.1634,                0.99789,                0.99795,                0.99448,                0.77839,                0.96637,                0.31223,                 1.4848,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.7898,                0.39996,                 1.1571,                0.99724,                0.99868,                 0.9944,                0.77641,                 0.9598,                0.31002,                 1.4573,                0.00505,                0.00505,                0.00505
                    102,                0.79072,                 0.4016,                 1.1634,                0.99702,                0.99832,                0.99424,                0.77879,                0.96156,                0.31444,                 1.4828,              0.0050005,              0.0050005,              0.0050005
                    103,                0.78701,                0.39635,                 1.1696,                 0.9974,                0.99813,                0.99424,                0.77892,                0.95875,                0.31607,                  1.465,               0.004951,               0.004951,               0.004951
                    104,                 0.7935,                0.40727,                   1.17,                0.99732,                0.99698,                0.99445,                0.78076,                 0.9531,                0.31636,                 1.4498,              0.0049015,              0.0049015,              0.0049015
                    105,                0.78472,                0.39944,                 1.1639,                0.99664,                0.99836,                0.99465,                0.78003,                0.96155,                0.31603,                 1.4598,               0.004852,               0.004852,               0.004852
                    106,                0.77316,                0.39665,                 1.1615,                0.99751,                0.99868,                0.99428,                0.78349,                0.95532,                0.31206,                 1.4546,              0.0048025,              0.0048025,              0.0048025
                    107,                0.78387,                0.39922,                 1.1623,                0.99741,                0.99868,                0.99428,                0.78197,                0.94782,                 0.3078,                 1.4503,               0.004753,               0.004753,               0.004753
                    108,                0.78005,                0.39164,                 1.1568,                0.99699,                0.99776,                0.99444,                0.78719,                0.94018,                0.30667,                 1.4441,              0.0047035,              0.0047035,              0.0047035
                    109,                0.76897,                0.38307,                 1.1555,                0.99722,                0.99868,                0.99448,                0.77966,                0.96033,                0.30767,                 1.4725,               0.004654,               0.004654,               0.004654
                    110,                 0.7712,                0.39109,                 1.1506,                0.99758,                0.99789,                0.99436,                0.77711,                0.96314,                0.30997,                 1.4745,              0.0046045,              0.0046045,              0.0046045
                    111,                0.76324,                0.38942,                 1.1422,                0.99788,                0.99868,                0.99434,                0.77106,                0.96568,                0.31309,                 1.4868,               0.004555,               0.004555,               0.004555
                    112,                0.75758,                0.38864,                 1.1424,                0.99722,                0.99868,                 0.9946,                0.78001,                0.97002,                0.31104,                 1.4874,              0.0045055,              0.0045055,              0.0045055
                    113,                0.75425,                 0.3884,                 1.1387,                0.99755,                0.99822,                0.99475,                0.77132,                0.96009,                0.31684,                 1.4859,               0.004456,               0.004456,               0.004456
                    114,                0.76263,                0.38907,                 1.1519,                0.99691,                0.99868,                0.99437,                0.78087,                0.94506,                0.30618,                 1.4559,              0.0044065,              0.0044065,              0.0044065
                    115,                0.75955,                0.38542,                  1.151,                0.99743,                0.99868,                0.99474,                0.77628,                0.95438,                0.30842,                 1.4759,               0.004357,               0.004357,               0.004357
                    116,                0.75148,                0.37979,                 1.1425,                0.99785,                0.99799,                0.99472,                0.78704,                0.94175,                0.30225,                 1.4553,              0.0043075,              0.0043075,              0.0043075
                    117,                0.75517,                0.38257,                 1.1503,                0.99718,                0.99728,                0.99457,                0.77815,                0.96183,                0.30727,                 1.4675,               0.004258,               0.004258,               0.004258
                    118,                0.73583,                0.36905,                 1.1311,                0.99655,                0.99828,                0.99457,                0.78435,                0.94628,                0.30134,                 1.4717,              0.0042085,              0.0042085,              0.0042085
                    119,                0.74386,                0.37969,                 1.1365,                0.99759,                0.99789,                0.99448,                0.78039,                0.96004,                0.30494,                 1.4853,               0.004159,               0.004159,               0.004159
                    120,                0.74392,                0.37492,                   1.14,                0.99715,                0.99868,                0.99457,                0.78367,                0.95742,                0.30476,                 1.4723,              0.0041095,              0.0041095,              0.0041095
                    121,                0.73866,                0.36934,                 1.1355,                 0.9977,                0.99868,                0.99424,                0.78591,                0.94889,                0.30178,                 1.4607,                0.00406,                0.00406,                0.00406
                    122,                0.74187,                0.37328,                 1.1408,                0.99788,                0.99868,                0.99453,                0.78379,                0.94122,                0.30211,                 1.4539,              0.0040105,              0.0040105,              0.0040105
                    123,                0.73869,                0.37026,                 1.1392,                0.99798,                0.99868,                0.99455,                 0.7832,                0.94959,                0.30144,                 1.4802,               0.003961,               0.003961,               0.003961
                    124,                0.72469,                0.36299,                 1.1328,                0.99779,                0.99868,                0.99449,                0.78098,                0.95722,                 0.3074,                  1.487,              0.0039115,              0.0039115,              0.0039115
                    125,                0.73075,                0.35937,                 1.1269,                 0.9978,                0.99868,                0.99444,                 0.7864,                 0.9467,                0.29886,                 1.4713,               0.003862,               0.003862,               0.003862
                    126,                0.73518,                0.36642,                 1.1332,                0.99796,                0.99868,                0.99437,                0.78617,                0.94618,                0.30241,                 1.4711,              0.0038125,              0.0038125,              0.0038125
                    127,                0.72544,                0.36413,                  1.128,                0.99759,                  0.998,                0.99429,                0.78597,                 0.9507,                0.30039,                 1.4769,               0.003763,               0.003763,               0.003763
                    128,                0.72244,                0.36554,                 1.1231,                0.99745,                0.99868,                0.99422,                0.78923,                0.95818,                0.30688,                 1.4828,              0.0037135,              0.0037135,              0.0037135
                    129,                0.71786,                 0.3566,                 1.1228,                0.99713,                0.99868,                0.99447,                0.78471,                0.96436,                0.30684,                 1.4951,               0.003664,               0.003664,               0.003664
                    130,                  0.712,                0.35788,                  1.121,                0.99714,                0.99868,                0.99465,                0.78333,                0.95184,                0.30106,                   1.48,              0.0036145,              0.0036145,              0.0036145
